Nopen,"KC/KCU",REG,"T. TRX RITEL","T. REV RITEL","T. BRT RITEL","T. Trx Loket","T. Rev Loket","T. Brt Loket","T. Trx Agenpos","T. Rev Agenpos","T. Brt Agenpos","T. Trx Oranger","T. Rev Oranger","T. Brt Oranger"
66300,66300,5,1,"9,450","0.1",1,"9,450","0.1",0,0,0,0,0,0
66291,66200,5,11,"155,000",14,0,0,0,0,0,0,11,"155,000",14
66283B1,66200,5,1,"175,500","3.1",1,"175,500","3.1",0,0,0,0,0,0
66272,66200,5,1,"16,200","0.1",1,"16,200","0.1",0,0,0,0,0,0
66263,66200,5,2,"12,600",2,0,0,0,0,0,0,2,"12,600",2
66261,66200,5,2,"12,600","0.4",2,"12,600","0.4",0,0,0,0,0,0
66200,66200,5,19,"124,700","7.6",19,"124,700","7.6",0,0,0,0,0,0
66185B1,66100,5,1,"6,300","0.5",0,0,0,0,0,0,1,"6,300","0.5"
66161,66100,5,1,"8,500","1.26",1,"8,500","1.26",0,0,0,0,0,0
66100,66100,5,4,"76,100","1.3",4,"76,100","1.3",0,0,0,0,0,0
65211,65100,5,1,"9,000","0.1",1,"9,000","0.1",0,0,0,0,0,0
65183,65100,5,9,"147,600","8.46",0,0,0,0,0,0,9,"147,600","8.46"
65177B1,65100,5,2,"17,900","1.7",2,"17,900","1.7",0,0,0,0,0,0
65174S1,65100,5,5,"97,900",7,0,0,0,5,"97,900",7,0,0,0
65174,65100,5,1,"14,400","0.2",0,0,0,0,0,0,1,"14,400","0.2"
65167,65100,5,1,"6,300","0.6",0,0,0,0,0,0,1,"6,300","0.6"
65157B1,65100,5,1,"75,000","0.2",0,0,0,0,0,0,1,"75,000","0.2"
65155,65100,5,1,"10,800",1,0,0,0,0,0,0,1,"10,800",1
65153,65100,5,2,"20,300","0.7",0,0,0,0,0,0,2,"20,300","0.7"
65151,65100,5,1,"6,800","0.1",0,0,0,0,0,0,1,"6,800","0.1"
65145C4,65100,5,1,"15,300",1,0,0,0,1,"15,300",1,0,0,0
65128A,65100,5,1,"29,700","0.1",0,0,0,0,0,0,1,"29,700","0.1"
65115A,65100,5,1,"26,400","0.2",0,0,0,0,0,0,1,"26,400","0.2"
65112C1,65100,5,1,"79,200","0.4",0,0,0,1,"79,200","0.4",0,0,0
65100,65100,5,5,"80,800","4.7",3,"61,300","3.2",0,0,0,2,"19,500","1.5"
64482,64400,5,1,"9,950",1,1,"9,950",1,0,0,0,0,0,0
64481,64400,5,1,"7,650","0.5",1,"7,650","0.5",0,0,0,0,0,0
64473,64400,5,1,"9,500",1,0,0,0,0,0,0,1,"9,500",1
64472,64400,5,4,"55,500","3.3",0,0,0,0,0,0,4,"55,500","3.3"
64451,64400,5,1,"33,400","1.2",0,0,0,0,0,0,1,"33,400","1.2"
64400,64400,5,1,"10,000",1,0,0,0,0,0,0,1,"10,000",1
